arse,bastard,child-fucker,dick,,fag,godammit,hussy,,jerks,kike,,motherfucker,negroes,orgasm,penis,queef,rimjob,shit,turds,,vagina,wank,,,zebra
arses,bastards,child-fuckers,dicks,,fag's,godamn,ho,,jizz,kyke,,motherfuckers,negros,orgasms,pussies,queer,rimjobs,shitasses,turd,,vaginas,whore,,,
asshole,bitch,clit,dike,,faggot,goddammit,hoe,,jackass,kikes,,motherfuckin',negro,,penises,queefs,rim,shit,tit,,vag,wanks,,,
asshole,bitches,clits,dyke,,fags,goddamn,hoes,,jackasses,kykes,,motherfucking,nigger,,prick,queers,,shitass,titty,,vages,whores,,,
assholes,bullshit,cock,dikes,,fuck,godfuck,hos,,jerking,,,mothafucka,nigga,,piss,,,shitty,titties,,vag's,weed,,,
asstastic,bollocks,cocks,dykes,,fucker,godsdamn,ho's,,jigga,,,mothafuckin',nutsack,,pus,,,sperm,testicle,,,,,,
asses,boner,cum,,,fuckin',gay,homosexual,,,,,mothafucking,nut sack,,puss,,,schlong,twat,,,,,,
anus,boners,cunt,,,fucking,gays,,,,,,,niggers,,pussy,,,scrote,testicles,,,,,,
anal,blowjob,cunts,,fuckin',fuckin,gypsy,,,,,,,nigga's,,prostitute,,,scrotum,twats,,,,,,
,blowjobs,circlejerk,,,fucks,gypsys,,,,,,,nutsacks,,pussies,,,spic,tits,,,,,,
,bootyhole,cumdumpster,,,fuckers,gypsies,,,,,,,nut sacks,,pricks,,,shits,,,,,,,
,balls,,,,fatass,gurf,,,,,,,niggas,,prostitutes,,,shat,,,,,,,
,bitch,,,,,grope,,,,,,,niglet,,pissing,,,shitting,,,,,,,
,,,,,,,,,,,,,,,pissed,,,schlongs,,,,,,,
,,,,,,,,,,,,,,,penis,,,scrotes,,,,,,,
,,,,,,,,,,,,,,,,,,scrotums,,,,,,,
,,,,,,,,,,,,,,,,,,spics,,,,,,,
,,,,,,,,,,,,,,,,,,slut,,,,,,,
,,,,,,,,,,,,,,,,,,smartass,,,,,,,
,,,,,,,,,,,,,,,,,,smartasses,,,,,,,